CENTER,LEFT,RIGHT,THROTTLE,ACCELERATION,BRAKE,STEER
center_2018_07_13_20_02_28_136.jpg,left_2018_07_13_20_02_28_136.jpg,right_2018_07_13_20_02_28_136.jpg,0,0,0,1.589101E-05
center_2018_07_13_20_02_28_202.jpg,left_2018_07_13_20_02_28_202.jpg,right_2018_07_13_20_02_28_202.jpg,0,0,0,2.307199E-06
center_2018_07_13_20_02_28_296.jpg,left_2018_07_13_20_02_28_296.jpg,right_2018_07_13_20_02_28_296.jpg,0,0,0,7.125327E-06
center_2018_07_13_20_02_28_394.jpg,left_2018_07_13_20_02_28_394.jpg,right_2018_07_13_20_02_28_394.jpg,0,0,0,1.047117E-05
center_2018_07_13_20_02_28_490.jpg,left_2018_07_13_20_02_28_490.jpg,right_2018_07_13_20_02_28_490.jpg,0,0,0,9.485807E-06
center_2018_07_13_20_02_28_585.jpg,left_2018_07_13_20_02_28_585.jpg,right_2018_07_13_20_02_28_585.jpg,0,0,0,4.580162E-07
center_2018_07_13_20_02_28_682.jpg,left_2018_07_13_20_02_28_682.jpg,right_2018_07_13_20_02_28_682.jpg,0,0,0,6.89439E-06
center_2018_07_13_20_02_28_781.jpg,left_2018_07_13_20_02_28_781.jpg,right_2018_07_13_20_02_28_781.jpg,0,0.1926842,0,0.1361308
center_2018_07_13_20_02_28_876.jpg,left_2018_07_13_20_02_28_876.jpg,right_2018_07_13_20_02_28_876.jpg,0,0.4798744,0,0.4993385
center_2018_07_13_20_02_28_972.jpg,left_2018_07_13_20_02_28_972.jpg,right_2018_07_13_20_02_28_972.jpg,0,0.7685373,0,1.304792
center_2018_07_13_20_02_29_071.jpg,left_2018_07_13_20_02_29_071.jpg,right_2018_07_13_20_02_29_071.jpg,0,1,0,2.376588
center_2018_07_13_20_02_29_164.jpg,left_2018_07_13_20_02_29_164.jpg,right_2018_07_13_20_02_29_164.jpg,0,1,0,3.557129
center_2018_07_13_20_02_29_231.jpg,left_2018_07_13_20_02_29_231.jpg,right_2018_07_13_20_02_29_231.jpg,0,1,0,4.26299
center_2018_07_13_20_02_29_329.jpg,left_2018_07_13_20_02_29_329.jpg,right_2018_07_13_20_02_29_329.jpg,0,1,0,5.426202
center_2018_07_13_20_02_29_425.jpg,left_2018_07_13_20_02_29_425.jpg,right_2018_07_13_20_02_29_425.jpg,0,1,0,6.578138
center_2018_07_13_20_02_29_521.jpg,left_2018_07_13_20_02_29_521.jpg,right_2018_07_13_20_02_29_521.jpg,-0.2,1,0,7.48273
center_2018_07_13_20_02_29_617.jpg,left_2018_07_13_20_02_29_617.jpg,right_2018_07_13_20_02_29_617.jpg,0,1,0,8.594977
center_2018_07_13_20_02_29_714.jpg,left_2018_07_13_20_02_29_714.jpg,right_2018_07_13_20_02_29_714.jpg,0,0.7080069,0,9.527051
center_2018_07_13_20_02_29_810.jpg,left_2018_07_13_20_02_29_810.jpg,right_2018_07_13_20_02_29_810.jpg,0,0.4212945,0,10.07966
center_2018_07_13_20_02_29_906.jpg,left_2018_07_13_20_02_29_906.jpg,right_2018_07_13_20_02_29_906.jpg,0,0.1313262,0,10.2559
center_2018_07_13_20_02_30_002.jpg,left_2018_07_13_20_02_30_002.jpg,right_2018_07_13_20_02_30_002.jpg,0,0,0,10.17267
center_2018_07_13_20_02_30_099.jpg,left_2018_07_13_20_02_30_099.jpg,right_2018_07_13_20_02_30_099.jpg,-0.15,0.1977632,0,10.16532
center_2018_07_13_20_02_30_196.jpg,left_2018_07_13_20_02_30_196.jpg,right_2018_07_13_20_02_30_196.jpg,-0.4,0.4903443,0,10.44275
center_2018_07_13_20_02_30_292.jpg,left_2018_07_13_20_02_30_292.jpg,right_2018_07_13_20_02_30_292.jpg,-0.6500001,0.7783141,0,11.04269
center_2018_07_13_20_02_30_389.jpg,left_2018_07_13_20_02_30_389.jpg,right_2018_07_13_20_02_30_389.jpg,-0.9000002,1,0,12.01437
center_2018_07_13_20_02_30_483.jpg,left_2018_07_13_20_02_30_483.jpg,right_2018_07_13_20_02_30_483.jpg,0,1,0,12.82668
center_2018_07_13_20_02_30_576.jpg,left_2018_07_13_20_02_30_576.jpg,right_2018_07_13_20_02_30_576.jpg,0,1,0,13.71935
center_2018_07_13_20_02_30_673.jpg,left_2018_07_13_20_02_30_673.jpg,right_2018_07_13_20_02_30_673.jpg,0,1,0,14.78765
center_2018_07_13_20_02_30_764.jpg,left_2018_07_13_20_02_30_764.jpg,right_2018_07_13_20_02_30_764.jpg,0,1,0,15.7739
center_2018_07_13_20_02_30_858.jpg,left_2018_07_13_20_02_30_858.jpg,right_2018_07_13_20_02_30_858.jpg,0,1,0,16.63226
center_2018_07_13_20_02_30_951.jpg,left_2018_07_13_20_02_30_951.jpg,right_2018_07_13_20_02_30_951.jpg,-0.25,1,0,17.68285
center_2018_07_13_20_02_31_045.jpg,left_2018_07_13_20_02_31_045.jpg,right_2018_07_13_20_02_31_045.jpg,-0.5000001,1,0,18.59943
center_2018_07_13_20_02_31_139.jpg,left_2018_07_13_20_02_31_139.jpg,right_2018_07_13_20_02_31_139.jpg,0,1,0,19.34431
center_2018_07_13_20_02_31_233.jpg,left_2018_07_13_20_02_31_233.jpg,right_2018_07_13_20_02_31_233.jpg,0,1,0,20.37178
center_2018_07_13_20_02_31_326.jpg,left_2018_07_13_20_02_31_326.jpg,right_2018_07_13_20_02_31_326.jpg,0,0.9043689,0,21.30922
center_2018_07_13_20_02_31_415.jpg,left_2018_07_13_20_02_31_415.jpg,right_2018_07_13_20_02_31_415.jpg,0,0.6360099,0,21.89138
center_2018_07_13_20_02_31_509.jpg,left_2018_07_13_20_02_31_509.jpg,right_2018_07_13_20_02_31_509.jpg,0,0.353956,0,22.25792
center_2018_07_13_20_02_31_600.jpg,left_2018_07_13_20_02_31_600.jpg,right_2018_07_13_20_02_31_600.jpg,-0.15,0.08162165,0,22.27897
center_2018_07_13_20_02_31_690.jpg,left_2018_07_13_20_02_31_690.jpg,right_2018_07_13_20_02_31_690.jpg,-0.4,0,0,21.95849
center_2018_07_13_20_02_31_783.jpg,left_2018_07_13_20_02_31_783.jpg,right_2018_07_13_20_02_31_783.jpg,-0.6500001,0,0,21.569
center_2018_07_13_20_02_31_875.jpg,left_2018_07_13_20_02_31_875.jpg,right_2018_07_13_20_02_31_875.jpg,-0.8500001,0,0,21.1879
center_2018_07_13_20_02_31_967.jpg,left_2018_07_13_20_02_31_967.jpg,right_2018_07_13_20_02_31_967.jpg,-1,0,0,20.54767
center_2018_07_13_20_02_32_126.jpg,left_2018_07_13_20_02_32_126.jpg,right_2018_07_13_20_02_32_126.jpg,0,0,0,19.98928
center_2018_07_13_20_02_32_197.jpg,left_2018_07_13_20_02_32_197.jpg,right_2018_07_13_20_02_32_197.jpg,0,0,0,20.00288
center_2018_07_13_20_02_32_290.jpg,left_2018_07_13_20_02_32_290.jpg,right_2018_07_13_20_02_32_290.jpg,0,0,0,19.57325
center_2018_07_13_20_02_32_382.jpg,left_2018_07_13_20_02_32_382.jpg,right_2018_07_13_20_02_32_382.jpg,0,0,0,19.64677
center_2018_07_13_20_02_32_478.jpg,left_2018_07_13_20_02_32_478.jpg,right_2018_07_13_20_02_32_478.jpg,0,0,0,19.51537
center_2018_07_13_20_02_32_572.jpg,left_2018_07_13_20_02_32_572.jpg,right_2018_07_13_20_02_32_572.jpg,0,0,0,18.91711
center_2018_07_13_20_02_32_665.jpg,left_2018_07_13_20_02_32_665.jpg,right_2018_07_13_20_02_32_665.jpg,0,0,0,19.15527
center_2018_07_13_20_02_32_758.jpg,left_2018_07_13_20_02_32_758.jpg,right_2018_07_13_20_02_32_758.jpg,0,0,0,19.01122
center_2018_07_13_20_02_32_852.jpg,left_2018_07_13_20_02_32_852.jpg,right_2018_07_13_20_02_32_852.jpg,0,0,0,18.33936
center_2018_07_13_20_02_33_287.jpg,left_2018_07_13_20_02_33_287.jpg,right_2018_07_13_20_02_33_287.jpg,-0.8500001,1,0,21.38391
center_2018_07_13_20_02_33_353.jpg,left_2018_07_13_20_02_33_353.jpg,right_2018_07_13_20_02_33_353.jpg,0,0.794899,0,21.80739
center_2018_07_13_20_02_33_450.jpg,left_2018_07_13_20_02_33_450.jpg,right_2018_07_13_20_02_33_450.jpg,0,0.5038028,0,22.30466
center_2018_07_13_20_02_33_550.jpg,left_2018_07_13_20_02_33_550.jpg,right_2018_07_13_20_02_33_550.jpg,0,0.204946,0,22.47174
center_2018_07_13_20_02_33_619.jpg,left_2018_07_13_20_02_33_619.jpg,right_2018_07_13_20_02_33_619.jpg,0,0,0,22.34751
center_2018_07_13_20_02_33_686.jpg,left_2018_07_13_20_02_33_686.jpg,right_2018_07_13_20_02_33_686.jpg,0,0,0,22.25712
center_2018_07_13_20_02_33_754.jpg,left_2018_07_13_20_02_33_754.jpg,right_2018_07_13_20_02_33_754.jpg,0.05,0,0,22.06575
center_2018_07_13_20_02_33_821.jpg,left_2018_07_13_20_02_33_821.jpg,right_2018_07_13_20_02_33_821.jpg,0.25,0,0,21.83032
center_2018_07_13_20_02_33_889.jpg,left_2018_07_13_20_02_33_889.jpg,right_2018_07_13_20_02_33_889.jpg,0.4,0,0,21.75216
center_2018_07_13_20_02_33_957.jpg,left_2018_07_13_20_02_33_957.jpg,right_2018_07_13_20_02_33_957.jpg,0,0,0,21.46114
center_2018_07_13_20_02_34_026.jpg,left_2018_07_13_20_02_34_026.jpg,right_2018_07_13_20_02_34_026.jpg,0,0,0,21.27539
center_2018_07_13_20_02_34_123.jpg,left_2018_07_13_20_02_34_123.jpg,right_2018_07_13_20_02_34_123.jpg,0,0,0,21.22242
center_2018_07_13_20_02_34_193.jpg,left_2018_07_13_20_02_34_193.jpg,right_2018_07_13_20_02_34_193.jpg,0,0,0,20.89575
